name_x,height_x,weight_x,reach_x,fx_win,age_x,str_landed_per_min_x,str_acc_x,str_absorb_per_min_x,str_def_x,td_avg_x,td_acc_x,td_def_x,sub_avg_x,win_percentage_x,name_y,height_y,weight_y,reach_y,age_y,str_landed_per_min_y,str_acc_y,str_absorb_per_min_y,str_def_y,td_avg_y,td_acc_y,td_def_y,sub_avg_y,win_percentage_y,stance_x_Open Stance,stance_x_Orthodox,stance_x_Sideways,stance_x_Southpaw,stance_x_Switch,stance_y_Open Stance,stance_y_Orthodox,stance_y_Sideways,stance_y_Southpaw,stance_y_Switch
Islam Makhachev,1.78,155.0,1.78,1,26.75,4.77,0.68,2.84,0.56,4.13,1.0,0.67,0.92,1.0,Kajan Johnson,1.8,155.0,1.9,34.27,2.6,0.51,3.14,0.55,1.34,0.33,0.36,0.27,0.61,0,1,0,0,0,0,1,0,0,0
Ismail Naurdiev,1.78,170.0,1.88,1,23.11,5.37,0.67,2.7,0.63,1.0,0.67,0.33,0.5,0.86,Siyar Bahadurzada,1.8,170.0,1.85,35.45,7.55,0.61,7.55,0.61,2.33,0.64,0.64,0.67,0.72,0,1,0,0,0,0,1,0,0,0
Ismail Naurdiev,1.78,170.0,1.88,0,23.53,6.89,0.68,2.11,0.42,1.67,0.83,0.33,0.33,0.82,Sean Brady,1.78,170.0,1.83,27.27,9.87,0.62,9.87,0.62,2.0,0.67,0.67,0.0,1.0,0,1,0,0,0,0,1,0,0,0
Israel Adesanya,1.93,185.0,2.03,1,28.73,8.12,0.74,3.83,0.56,0.0,0.0,0.2,0.0,1.0,Marvin Vettori,1.83,185.0,1.88,24.56,6.36,0.55,5.62,0.48,1.52,0.5,0.4,1.21,0.75,0,0,0,0,1,0,0,0,1,0
Israel Adesanya,1.93,185.0,2.03,1,29.73,4.99,0.56,3.98,0.45,0.0,0.0,0.24,0.0,1.0,Kelvin Gastelum,1.75,185.0,1.8,27.47,3.56,0.45,2.9,0.41,0.0,0.0,0.0,0.0,0.74,0,0,0,0,1,0,0,0,1,0
Israel Adesanya,1.93,185.0,2.03,1,30.2,4.44,0.49,3.88,0.42,0.0,0.0,0.2,0.5,1.0,Robert Whittaker,1.83,185.0,1.85,28.79,5.03,0.42,5.67,0.56,0.0,0.0,0.25,0.0,0.8,0,0,0,0,1,0,1,0,0,0
Israel Adesanya,1.93,185.0,2.03,1,30.63,4.48,0.48,3.82,0.41,0.0,0.0,0.11,0.56,1.0,Yoel Romero,1.83,185.0,1.85,42.85,5.73,0.52,5.73,0.52,1.56,0.25,0.25,0.0,0.71,0,0,0,0,1,0,0,0,1,0
Issei Tamura,1.65,135.0,1.6,0,28.33,13.92,0.86,1.08,0.32,2.71,0.5,0.0,0.0,0.67,Raphael Assuncao,1.65,135.0,1.68,29.98,5.82,0.63,5.82,0.63,2.57,0.38,0.38,0.0,0.76,0,1,0,0,0,0,1,0,0,0
Issei Tamura,1.65,135.0,1.6,0,29.01,7.49,0.79,4.38,0.59,1.37,0.33,0.0,0.0,0.6,TJ Dillashaw,1.68,125.0,1.7,27.1,9.06,0.76,2.22,0.53,4.27,0.5,0.0,5.13,0.75,0,1,0,0,0,0,1,0,0,0
Iuri Alcantara,1.75,135.0,1.8,1,31.44,5.0,0.61,5.0,0.61,6.0,1.0,1.0,0.0,0.86,Michihiro Omigawa,1.68,145.0,1.73,36.07,4.7,0.56,4.33,0.53,1.5,0.43,0.44,1.75,0.52,0,0,0,1,0,0,1,0,0,0
