f1_name,f2_name,f1_str,f2_str,f1_tds,f2_tds,f1_subs,f2_subs,f1_pass,f2_pass,weight_class,method,finisher,round_num,time,event_name,event_date
"
              Cathal Pendred
            ","
              Sean Spencer
            ",49,52,4,0,0,0,3,0,"
        Welterweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: McGregor vs Siver
            ","
      ,
      January 18, 2015
    "
"
              Lorenz Larkin
            ","
              John Howard
            ",29,10,0,0,0,0,0,0,"
        Welterweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        2:17
      ","
              UFC Fight Night: McGregor vs Siver
            ","
      ,
      January 18, 2015
    "
"
              Chris Wade
            ","
              Zhang Lipeng
            ",47,28,4,0,0,0,3,0,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: McGregor vs Siver
            ","
      ,
      January 18, 2015
    "
"
              Paddy Holohan
            ","
              Shane Howell
            ",42,22,3,0,2,0,7,0,"
        Flyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: McGregor vs Siver
            ","
      ,
      January 18, 2015
    "
"
              Johnny Case
            ","
              Frankie Perez
            ",59,16,4,1,0,1,6,0,"
        Lightweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        3
      ","

        
        1:54
      ","
              UFC Fight Night: McGregor vs Siver
            ","
      ,
      January 18, 2015
    "
"
              Charles Rosa
            ","
              Sean Soriano
            ",37,69,5,3,4,0,10,0,"
        Featherweight","
        
        

        SUB

      ","
        D'Arce Choke
      ","

        3
      ","

        
        4:43
      ","
              UFC Fight Night: McGregor vs Siver
            ","
      ,
      January 18, 2015
    "
"
              Sean O'Connell
            ","
              Matt Van Buren
            ",66,100,0,0,0,0,0,0,"
        Light Heavyweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        3
      ","

        
        2:11
      ","
              UFC Fight Night: McGregor vs Siver
            ","
      ,
      January 18, 2015
    "
"
              Joby Sanchez
            ","
              Tateki Matsuda
            ",58,55,2,0,1,0,4,0,"
        Flyweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: McGregor vs Siver
            ","
      ,
      January 18, 2015
    "
"
              Anthony Johnson
            ","
              Alexander Gustafsson
            ",30,10,0,0,0,0,0,0,"
        Light Heavyweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        1
      ","

        
        2:15
      ","
              UFC Fight Night: Gustafsson vs Johnson
            ","
      ,
      January 24, 2015
    "
"
              Gegard Mousasi
            ","
              Dan Henderson
            ",4,4,0,0,0,0,0,0,"
        Middleweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        1:10
      ","
              UFC Fight Night: Gustafsson vs Johnson
            ","
      ,
      January 24, 2015
    "
"
              Ryan Bader
            ","
              Phil Davis
            ",26,35,1,0,0,0,0,0,"
        Light Heavyweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Gustafsson vs Johnson
            ","
      ,
      January 24, 2015
    "
"
              Sam Sicilia
            ","
              Akira Corassani
            ",10,10,0,0,0,0,0,0,"
        Featherweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        3:26
      ","
              UFC Fight Night: Gustafsson vs Johnson
            ","
      ,
      January 24, 2015
    "
"
              Albert Tumenov
            ","
              Nico Musoke
            ",87,65,0,0,0,0,0,0,"
        Welterweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Gustafsson vs Johnson
            ","
      ,
      January 24, 2015
    "
"
              Kenny Robertson
            ","
              Sultan Aliev
            ",14,8,0,0,0,0,0,0,"
        Welterweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        2:42
      ","
              UFC Fight Night: Gustafsson vs Johnson
            ","
      ,
      January 24, 2015
    "
"
              Makwan Amirkhani
            ","
              Andy Ogle
            ",6,0,0,0,0,0,0,0,"
        Featherweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        1
      ","

        
        0:08
      ","
              UFC Fight Night: Gustafsson vs Johnson
            ","
      ,
      January 24, 2015
    "
"
              Nikita Krylov
            ","
              Stanislav Nedkov
            ",13,4,0,0,1,0,0,0,"
        Light Heavyweight","
        
        

        SUB

      ","
        Guillotine Choke
      ","

        1
      ","

        
        1:24
      ","
              UFC Fight Night: Gustafsson vs Johnson
            ","
      ,
      January 24, 2015
    "
"
              Mairbek Taisumov
            ","
              Anthony Christodoulou
            ",37,9,2,0,0,0,0,0,"
        Lightweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        2
      ","

        
        0:38
      ","
              UFC Fight Night: Gustafsson vs Johnson
            ","
      ,
      January 24, 2015
    "
"
              Mirsad Bektic
            ","
              Paul Redmond
            ",34,2,2,0,0,0,13,0,"
        Featherweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Gustafsson vs Johnson
            ","
      ,
      January 24, 2015
    "
