fx_win,sig_str_ground_att_sum_diff,sig_str_ground_succ_sum_diff,age_diff,tds_succ_sum_diff,pass_sum_diff,tds_succ_per_min_diff,tds_att_sum_diff,reach_diff,pass_per_min_diff,sig_str_head_acc_diff,sig_str_dist_acc_diff,tot_str_succ_sum_diff,ufc_losses_diff,sig_str_head_succ_sum_diff,sig_str_ground_att_per_min_diff,sig_str_ground_succ_per_min_diff,tds_att_per_min_diff,fight_time_sum_diff,tds_acc_diff
0,-22.0,-10.0,5.060000000000002,-4.0,-2.0,-0.03,4.0,0.029999999999999805,-0.05,-0.04999999999999999,-0.13,-73.0,-1,-24.0,-0.48,-0.14999999999999997,0.43999999999999995,-17.75,-0.55
1,-4.0,-6.0,6.689999999999998,7.0,5.0,0.16,26.0,0.09999999999999987,0.04000000000000001,-0.02999999999999997,-0.020000000000000018,78.0,1,-5.0,-0.71,-0.63,0.63,16.32,-0.7
1,32.0,21.0,3.0599999999999987,12.0,16.0,0.23,32.0,0.09999999999999987,0.31,0.020000000000000018,0.0,206.0,0,37.0,0.5700000000000001,0.36,0.5700000000000001,37.65,0.36
0,-52.0,-36.0,0.19999999999999574,4.0,10.0,0.12,15.0,0.1299999999999999,0.22999999999999998,0.09000000000000002,0.07,-213.0,-1,-125.0,-0.71,-0.49,0.35,-8.5,-0.17000000000000004
0,3.0,1.0,0.17999999999999972,0.0,0.0,0.0,1.0,0.050000000000000044,0.0,-0.16,-0.06,-11.0,-1,-28.0,0.2,0.07,0.07,-2.0599999999999987,0.0
0,-17.0,-15.0,0.740000000000002,-9.0,-1.0,-0.6799999999999999,-9.0,0.030000000000000027,-0.15000000000000002,-0.36,-0.16999999999999998,51.0,1,37.0,-1.48,-1.28,-0.84,21.620000000000005,-0.39999999999999997
1,23.0,9.0,-11.870000000000001,1.0,-1.0,0.07,1.0,0.050000000000000044,-0.07,0.07,0.12000000000000002,-22.0,0,21.0,1.54,0.6000000000000001,0.07,0.0,1.0
1,17.0,4.0,-5.73,-4.0,-3.0,-0.05,-15.0,-0.04999999999999982,-0.06,0.04999999999999999,-0.030000000000000027,-177.0,0,-76.0,1.3199999999999998,0.55,-0.28,-28.14,0.69
1,-18.0,-19.0,-5.309999999999999,0.0,-1.0,0.0,2.0,0.020000000000000018,-0.03,-0.020000000000000018,-0.07,-35.0,-3,27.0,-0.5599999999999999,-0.63,0.09,-6.279999999999994,0.0
0,0.0,-3.0,-3.41,-3.0,-6.0,-0.06,-2.0,0.020000000000000018,-0.11,-0.07999999999999996,-0.08000000000000002,82.0,-1,97.0,0.06999999999999999,-0.03,0.009999999999999995,-18.72999999999999,-0.5
0,-31.0,-29.0,-0.33000000000000185,-2.0,-9.0,-0.04,-3.0,-0.029999999999999805,-0.2,-0.08999999999999997,0.010000000000000009,39.0,0,93.0,-0.6799999999999999,-0.64,-0.06,-3.9599999999999937,-0.29
0,-45.0,-32.0,2.8100000000000023,-10.0,-8.0,-0.32,-10.0,-0.13000000000000012,-0.09999999999999998,-0.34,0.44000000000000006,-144.0,-1,-46.0,-1.43,-1.02,0.04999999999999993,-19.54,-0.59
1,-49.0,-22.0,-6.759999999999998,-4.0,-2.0,-0.09,-8.0,0.10999999999999988,0.17,0.25999999999999995,0.19,-159.0,-4,-85.0,0.8600000000000001,1.44,0.26,-42.58999999999999,-0.4
1,-19.0,-18.0,-6.619999999999997,-3.0,-6.0,-0.009999999999999995,7.0,0.08000000000000007,-0.11,0.0,0.08000000000000002,-80.0,-6,-35.0,-0.04999999999999993,-0.050000000000000044,0.66,-25.390000000000015,-0.38
0,32.0,21.0,5.060000000000002,3.0,1.0,0.09,10.0,0.030000000000000027,0.04,-0.06,-0.020000000000000018,98.0,0,60.0,1.25,0.82,0.14,10.560000000000002,0.09999999999999999
0,-1.0,0.0,-7.979999999999997,-1.0,0.0,-0.21999999999999997,-1.0,-0.15000000000000013,-0.07999999999999999,-0.09,-0.09000000000000002,28.0,-1,13.0,-0.15,0.0,-0.31,8.15,-0.17000000000000004
1,-15.0,-10.0,-6.960000000000001,-10.0,-6.0,-0.22999999999999998,-14.0,0.020000000000000018,-0.12,-0.13,-0.020000000000000018,-111.0,-5,-41.0,-0.41,-0.27,-0.26,-21.21,-0.32
1,9.0,6.0,-2.789999999999999,1.0,1.0,0.04,1.0,0.07000000000000006,0.04,0.25,0.34,84.0,0,38.0,0.36,0.24,-0.31,20.17,0.33
1,72.0,47.0,-0.8599999999999994,1.0,-1.0,0.03,3.0,-0.08000000000000007,-0.1,0.09999999999999998,0.03999999999999998,124.0,0,85.0,2.17,1.2999999999999998,0.07,13.880000000000003,0.25
1,68.0,42.0,-9.080000000000002,0.0,0.0,-0.020000000000000004,6.0,-0.10000000000000009,-0.020000000000000004,0.02999999999999997,0.0,186.0,-4,72.0,1.28,0.7099999999999999,0.09999999999999999,16.5,-0.45000000000000007
1,12.0,2.0,-2.620000000000001,-6.0,-2.0,-0.13999999999999999,0.0,-0.050000000000000044,-0.049999999999999996,-0.10999999999999999,-0.07,116.0,-1,43.0,0.09000000000000008,-0.07999999999999985,-0.030000000000000027,4.970000000000013,-0.5
1,8.0,3.0,-5.189999999999998,2.0,1.0,0.04,11.0,-0.050000000000000044,0.02,0.05000000000000002,0.09999999999999998,144.0,-5,13.0,0.12,0.039999999999999994,0.19999999999999998,8.730000000000025,0.15
0,-49.0,-38.0,0.19000000000000128,-14.0,-7.0,-0.26,-9.0,0.07000000000000006,-0.13,-0.18999999999999997,-0.13,-71.0,0,-71.0,-0.91,-0.7,-0.17,1.4210854715202004e-14,-0.63
0,-34.0,-20.0,8.25,-2.0,-5.0,-0.08,5.0,0.0,-0.17,-0.12999999999999998,-0.07,40.0,2,13.0,-1.24,-0.76,0.04999999999999999,24.45000000000001,-0.88
1,-1.0,-1.0,-3.349999999999998,-1.0,-1.0,-0.03,-1.0,-0.04999999999999982,-0.03,-0.21999999999999997,-0.09999999999999998,-83.0,0,-127.0,-0.03,-0.03,-0.03,-17.269999999999996,-1.0
1,38.0,24.0,-1.8200000000000003,-9.0,-6.0,-0.18000000000000002,-17.0,0.08000000000000007,-0.1,-0.08000000000000007,-0.08000000000000002,-49.0,-2,25.0,1.87,1.34,-0.36,-12.979999999999997,0.18000000000000005
1,111.0,86.0,-11.96,3.0,4.0,0.09,1.0,-0.029999999999999805,0.12,0.16999999999999998,0.06,296.0,-5,86.0,3.23,2.5,-0.010000000000000009,9.619999999999987,0.6
0,75.0,60.0,-2.379999999999999,1.0,2.0,0.049999999999999996,-3.0,0.08000000000000007,0.07,0.09000000000000002,-0.03999999999999998,88.0,-3,-16.0,2.42,1.9100000000000001,-0.03,-11.090000000000003,0.35
1,-22.0,-17.0,-2.780000000000001,-8.0,-11.0,-0.19,-17.0,-0.11999999999999988,-0.32,-0.14,-0.02999999999999997,-67.0,-6,-7.0,-0.64,-0.49,-0.42000000000000004,-19.61,0.030000000000000027
0,-60.0,-46.0,2.210000000000001,-7.0,-10.0,-0.21,-14.0,-0.020000000000000018,-0.31,-0.13,-0.07,-56.0,-4,-44.0,-1.81,-1.3900000000000001,-0.42,-2.700000000000003,0.0
