height_x,weight_x,reach_x,fx_win,fight_time_x,age_x,str_landed_per_min_x,str_acc_x,str_absorb_per_min_x,str_def_x,td_avg_x,td_acc_x,td_def_x,sub_avg_x,win_percentage_x,height_y,weight_y,reach_y,fight_time_y,age_y,str_landed_per_min_y,str_acc_y,str_absorb_per_min_y,str_def_y,td_avg_y,td_acc_y,td_def_y,sub_avg_y,win_percentage_y
1.88,185.0,1.85,1,37.45,23.09,2.64,0.49,4.75,0.61,0.8,0.2,0.46,0.8,0.75,1.78,185.0,1.78,6.1,29.7,2.46,0.45,2.46,0.45,4.92,0.67,0.67,0.0,0.53
1.88,185.0,1.85,1,38.330000000000005,23.49,2.58,0.48,4.67,0.61,0.78,0.2,0.43,1.17,0.77,1.91,185.0,1.88,26.67,32.79,4.39,0.68,5.36,0.65,1.12,0.29,0.71,0.56,0.61
1.88,185.0,1.85,1,21.200000000000003,24.4,3.63,0.58,9.81,0.68,1.42,0.25,0.4,0.71,0.8,1.85,205.0,1.96,28.489999999999995,27.96,6.98,0.7,2.98,0.67,3.69,0.64,0.38,1.58,0.69
1.88,185.0,1.85,1,43.57000000000001,25.64,3.63,0.53,6.36,0.54,0.34,1.0,0.52,0.34,0.78,1.85,185.0,1.93,34.11,31.19,2.2,0.39,2.2,0.39,0.44,0.5,0.5,3.08,0.58
1.88,185.0,1.85,1,42.650000000000006,26.04,4.17,0.51,5.63,0.46,0.0,0.0,0.52,0.35,0.74,1.8,170.0,1.8,32.13,30.19,3.21,0.5,3.11,0.51,0.0,0.0,0.12,0.47,0.83
1.88,185.0,1.85,1,36.07000000000001,27.4,4.3,0.49,5.24,0.47,0.42,1.0,0.73,0.83,0.75,1.91,185.0,2.03,13.100000000000012,36.29,5.5,0.78,7.56,0.7,2.29,0.5,0.67,2.29,0.6
1.88,185.0,1.85,1,30.27,28.03,6.54,0.56,4.63,0.43,0.5,1.0,0.56,0.5,0.76,1.73,170.0,1.8,26.249999999999993,32.19,5.94,0.69,5.94,0.69,1.14,0.33,0.33,2.86,0.85
1.88,185.0,1.85,0,19.57,28.68,7.72,0.62,3.63,0.46,0.77,1.0,0.5,1.53,0.73,1.88,170.0,1.9,41.05,31.44,4.0,0.46,4.0,0.46,1.83,0.28,0.28,0.0,0.73
1.88,185.0,1.85,0,31.520000000000007,29.01,4.44,0.63,3.87,0.69,0.48,1.0,0.36,1.9,0.74,1.85,185.0,1.9,43.35000000000001,34.16,6.02,0.49,6.14,0.51,2.77,0.32,0.33,0.0,0.79
1.83,170.0,1.85,0,4.379999999999999,32.95,5.94,0.59,6.16,0.4,0.0,0.0,0.5,0.0,0.75,1.8,170.0,1.83,10.420000000000002,23.84,4.22,0.66,4.22,0.66,2.88,0.67,0.67,1.44,0.88
1.83,170.0,1.85,1,19.38,33.26,6.3,0.56,4.02,0.44,0.0,0.0,0.67,0.0,0.77,1.83,170.0,1.85,30.0,26.24,8.3,0.7,8.3,0.7,2.5,0.56,0.56,0.0,0.64
1.83,170.0,1.85,1,21.700000000000003,33.64,6.18,0.55,4.24,0.45,0.0,0.0,0.67,0.0,0.71,1.93,170.0,1.93,4.280000000000001,25.57,3.04,0.3,1.87,0.31,0.0,0.0,0.0,0.0,0.7
1.83,170.0,1.85,0,36.7,33.85,5.37,0.55,3.43,0.39,0.41,1.0,0.5,0.0,0.67,1.8,170.0,1.85,34.980000000000004,23.77,4.2,0.44,4.06,0.44,0.43,0.5,0.18,0.0,0.82
1.83,170.0,1.85,1,35.24,34.31,5.33,0.54,3.35,0.39,0.43,1.0,0.33,0.0,0.69,1.7,170.0,1.75,30.0,28.74,5.23,0.63,7.77,0.7,3.0,0.46,0.43,0.5,0.75
1.83,170.0,1.85,1,35.17,35.06,6.31,0.58,4.92,0.41,0.43,1.0,0.27,0.0,0.72,1.78,170.0,1.8,18.299999999999997,25.26,8.36,0.52,8.36,0.52,0.0,0.0,0.0,0.0,0.78
1.83,170.0,1.85,0,35.17,35.31,6.48,0.57,5.0,0.45,0.85,0.4,0.3,0.0,0.68,1.8,170.0,1.83,51.150000000000006,28.64,2.39,0.62,5.45,0.62,1.17,0.57,1.0,0.59,0.72
1.83,170.0,1.85,0,38.019999999999996,35.69,6.0,0.57,4.58,0.46,0.79,0.4,0.36,0.0,0.7,1.83,170.0,1.93,14.5,27.85,2.83,0.28,2.83,0.28,1.03,0.2,0.2,2.07,0.9
1.83,170.0,1.85,1,37.49999999999999,36.25,5.23,0.54,4.59,0.46,0.8,0.4,0.3,0.0,0.71,1.88,170.0,1.96,43.71000000000001,34.87,7.0,0.52,6.41,0.49,0.34,1.0,0.5,0.0,0.61
1.83,170.0,1.85,0,30.129999999999995,37.38,5.61,0.53,3.25,0.45,1.0,0.4,0.5,0.0,0.68,1.85,170.0,1.93,19.980000000000004,34.58,2.75,0.37,2.2,0.32,0.75,1.0,0.17,0.0,0.91
1.8,155.0,1.88,1,3.8999999999999986,30.54,4.87,0.45,3.85,0.42,3.85,0.5,0.0,0.0,0.91,1.73,155.0,1.73,47.02000000000001,28.75,5.04,0.46,4.32,0.28,0.0,0.0,0.0,0.0,0.79
1.8,155.0,1.88,0,18.9,31.92,3.23,0.34,4.29,0.48,2.38,0.23,0.0,0.0,0.92,1.75,155.0,1.85,36.65,26.86,3.66,0.48,3.74,0.56,2.86,0.78,0.36,0.0,0.82
1.8,155.0,1.88,1,40.4,33.19,4.83,0.54,3.86,0.56,2.97,0.3,0.25,0.37,0.93,1.78,155.0,1.78,24.08,26.5,4.86,0.46,4.86,0.46,0.62,1.0,1.0,1.25,0.75
1.8,155.0,1.88,1,51.5,34.55,4.58,0.6,3.83,0.64,3.5,0.36,0.33,0.58,0.87,1.75,155.0,1.78,13.850000000000001,31.49,2.17,0.38,6.28,0.54,0.0,0.0,1.0,0.0,0.71
1.8,155.0,1.88,0,51.5,35.22,5.53,0.73,3.84,0.78,5.53,0.51,0.33,0.58,0.88,1.75,155.0,1.75,60.0,35.02,8.3,0.62,8.3,0.62,3.75,0.68,0.68,0.25,0.92
1.75,135.0,1.83,0,15.0,25.49,5.4,0.35,4.53,0.39,0.0,0.0,0.33,0.0,0.86,1.7,135.0,1.78,17.16,25.31,5.01,0.47,5.07,0.39,0.0,0.0,0.0,0.0,0.86
1.75,135.0,1.83,0,36.620000000000005,26.14,4.86,0.37,5.0,0.46,0.82,0.33,0.25,0.0,0.67,1.7,135.0,1.8,15.0,25.4,8.47,0.74,3.93,0.44,11.0,0.73,0.0,0.0,1.0
1.8,170.0,1.85,1,15.0,22.37,3.33,0.51,5.0,0.65,1.0,1.0,0.57,0.0,0.86,1.75,170.0,1.8,15.0,34.24,4.8,0.85,2.73,0.76,0.0,0.0,0.8,0.0,0.81
1.8,170.0,1.85,1,19.980000000000004,23.08,3.0,0.45,3.85,0.59,0.75,1.0,0.33,0.0,0.81,1.83,170.0,1.9,48.120000000000005,28.81,4.93,0.48,4.74,0.49,1.56,0.31,0.31,0.31,0.69
1.8,170.0,1.85,1,22.900000000000006,24.02,5.07,0.42,3.76,0.35,0.0,0.0,0.0,0.0,0.83,1.8,170.0,1.83,29.18,29.33,5.17,0.58,3.98,0.48,0.0,0.0,0.0,0.0,0.9
1.8,170.0,1.85,0,33.970000000000006,24.37,5.48,0.42,4.5,0.39,0.0,0.0,0.0,0.0,0.84,1.8,170.0,1.83,52.699999999999996,27.78,1.97,0.59,4.91,0.55,0.85,0.5,0.67,0.57,0.71
1.8,170.0,1.85,0,41.170000000000016,24.79,5.0,0.43,4.71,0.44,0.0,0.0,0.13,0.0,0.85,1.88,170.0,1.88,45.13000000000001,25.12,3.7,0.67,3.46,0.6,0.66,0.29,0.29,0.33,0.93
1.65,155.0,1.65,0,11.83,31.53,1.18,0.88,8.2,0.66,0.0,0.0,0.0,3.8,0.79,1.73,155.0,1.78,31.369999999999997,28.72,5.04,0.6,5.26,0.61,4.78,0.59,0.6,1.43,0.79
1.83,170.0,1.96,1,4.280000000000001,33.57,8.88,0.61,9.58,0.68,0.0,0.0,1.0,0.0,0.91,1.78,170.0,1.85,46.86999999999999,40.33,4.2,0.42,4.2,0.42,1.28,0.4,0.4,0.0,0.68
1.83,170.0,1.96,1,19.28,34.18,6.33,0.5,6.9,0.6,1.56,0.12,0.5,0.0,0.92,1.83,170.0,1.88,44.670000000000016,40.8,4.52,0.55,3.09,0.37,1.68,0.5,0.0,1.01,0.67
